station,day,max_temp_f,min_temp_f,precip_in,avg_wind_speed_kts,avg_rh,snow_in,min_feel,avg_feel,max_feel,max_wind_gust_kts
PHL,2015-01-01,42.0,28.0,0.0,13.585774,42.18015,,17.6482,25.745657,33.5566,31.0
PHL,2015-01-02,44.0,29.0,0.0,7.0460253,50.50814,,23.1457,31.380623,36.7371,20.85543
PHL,2015-01-03,44.0,28.0,0.72,4.8640165,80.59353,0.0001,22.7958,32.068165,42.08,17.379524
PHL,2015-01-04,58.0,42.0,0.37,9.262203,88.945145,,36.0477,46.954628,57.02,36.497
PHL,2015-01-05,50.0,24.0,0.0,15.753139,37.108997,,12.4577,25.985752,41.5482,34.75905
PHL,2015-01-06,24.0,16.0,0.12,5.140865,69.261086,1.5,8.62101,14.726395,23.0,15.641572
PHL,2015-01-07,24.0,13.0,0.0001,14.589261,53.34068,0.0001,-3.95549,5.893387,14.5982,35.0
PHL,2015-01-08,21.0,9.0,0.0,11.150628,45.62471,,-6.52236,1.057312,7.6654,35.0
PHL,2015-01-09,36.0,21.0,0.01,13.324267,43.26275,0.0001,8.6876,17.630903,26.6417,33.0211
PHL,2015-01-10,25.0,16.0,0.0,9.82636,39.339798,,0.0115008,7.6471696,17.96,22.593382
PHL,2015-01-11,40.0,15.0,0.0,6.0669456,53.28047,,5.15243,22.268282,32.1867,17.379524
PHL,2015-01-12,38.0,33.0,0.59,4.4825664,84.66256,0.0001,26.831,31.53185,37.94,12.165668
PHL,2015-01-13,38.0,21.0,0.0,10.919107,51.226044,,9.86093,19.211557,29.2883,26.069286
PHL,2015-01-14,32.0,20.0,0.0,8.407252,61.424107,,7.16758,17.369808,26.159,20.85543
PHL,2015-01-15,36.0,29.0,0.0,6.3891215,61.69973,,19.9642,24.965052,29.2157,15.641572
PHL,2015-01-16,43.0,25.0,0.0,13.014645,56.135696,,15.4657,23.89297,34.2025,34.0
PHL,2015-01-17,33.0,18.0,0.0,6.4476986,43.601185,,5.50708,17.958143,28.94,17.379524
PHL,2015-01-18,43.0,24.0,1.84,5.119944,87.64295,,19.6346,30.149872,40.2118,16.51055
PHL,2015-01-19,45.0,30.0,0.0,9.997908,64.79822,,23.5138,31.607738,37.8676,30.0
PHL,2015-01-20,46.0,29.0,0.0,5.6841006,68.75222,,22.7828,32.38641,42.98,15.641572
PHL,2015-01-21,34.0,27.0,0.06,4.7261987,69.373825,0.5,19.7089,25.32497,33.8,13.034643
PHL,2015-01-22,41.0,30.0,0.03,5.711297,76.6361,0.0001,23.3625,29.796707,35.6178,20.0
PHL,2015-01-23,42.0,25.0,0.16,4.3179917,70.95729,0.6,22.9269,29.619253,37.0838,19.986454
PHL,2015-01-24,39.0,33.0,0.55,9.8751745,84.99619,0.4,24.105,27.37688,33.3359,24.331335
PHL,2015-01-25,46.0,33.0,0.0001,9.934449,67.23397,0.0001,24.105,32.62231,40.2091,22.593382
PHL,2015-01-26,34.0,27.0,0.0001,14.983961,77.087975,0.4,12.131,17.043642,24.9686,30.41417
PHL,2015-01-27,34.0,21.0,0.02,14.28173,58.903442,0.8,6.86985,16.457014,22.3551,28.0
PHL,2015-01-28,35.0,20.0,0.0,11.338912,35.009605,,5.61704,15.849635,26.5522,27.0
PHL,2015-01-29,34.0,21.0,0.0001,5.42887,43.938305,0.0001,14.4242,23.635452,30.9521,13.034643
PHL,2015-01-30,42.0,20.0,0.0001,15.48954,54.75088,0.1,1.19167,23.590513,35.06,37.0
